italian,english,german,rank
sono,I am / they are,ich bin / sie sind,1
io,I,ich,2
il suo,his,sein,3
che,that,das,4
lui,he,er,5
era,he was,er war,6
per,for,für,7
su,on,auf,8
come,how,wie,9
con,with,mit,10
loro,they,sie,11
essere,to be,sein,12
da,from,von,13
a,at,bei,14
uno,one,ein,15
avere,to have,haben,16
questo,this,das,17
da,by,durch,18
ma,but,aber,19
da,from,von,20
caldo,hot,heiß,21
parola,word,Wort,22
ma,but,aber,23
cosa,what,was,24
alcuno,some,einige,25
è,it is,es ist,26
è,you are / it is,du bist / es ist,27
o,or,oder,28
avuto,had,hatte,29
di,of,von,30
a,to,zu,31
e,and,und,32
un,a,ein,33
in,in,in,34
noi,we,wir,35
fuori,out,aus,36
altro,other,andere,37
erano,they were,sie waren,38
che,which,welche,39
fare,to do,tun,40
loro,their,ihre,41
tempo,time,Zeit,42
se,if,wenn,43
cercherà,will look for,wird suchen,44
come,how,wie,45
dice,says,sagt,46
un,a,ein,47
ogni,every,jede,48
dire,to say,sagen,49
lasciare,to leave,verlassen,50
suono,sound,Klang,51
più,more,mehr,52
persona,person,Person,53
sarebbe,would be,wäre,54
acqua,water,Wasser,55
come,like,wie,56
chiamare,to call,anrufen,57
primo,first,erste,58
che,who,wer,59
potrebbe,could,könnte,60
verso,towards,in Richtung,61
loro,them,sie,62
scritto,written,geschrieben,63
come,as,wie,64
gruppo,group,Gruppe,65
può,can,kann,66
migliore,better,besser,67
gran parte,most,der größte Teil,68
stesso,same,gleiche,69
acqua,water,Wasser,70
sulla,on the,auf dem,71
